name,sku_code,studio_price,Main image,Angle image,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,rent_price,categories_id,bust_size,hips_size,waist_size
White coloured uncut diamond leaf shaped finger ring with sky blue enamel,RING225,1000,RING225-1000(1).jpg,"RING225-1000(1).jpg, RING225-1000(2).jpg",1,,,,"•White coloured uncut diamond leaf shaped finger ring with sky blue enamel
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this finger ring can look elegant and stylish when worn with anarkali, lehengas, sarees and western outfit as well.
 •It has copper metal base & is adjustable to fit any finger size. 
•Suitable for all age group of women.",,,,GOLD & BLUE,,Jewellery,RING,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,32,,,
White coloured uncut diamond leaf shaped finger ring with peach enamel,RING225A,1000,RING225A-1000(1).jpg,"RING225A-1000(1).jpg, RING225A-1000(2).jpg",1,,,,"•White coloured uncut diamond leaf shaped finger ring with peach enamel
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this finger ring can look elegant and stylish when worn with anarkali, lehengas, sarees and western outfit as well.
 •It has copper metal base & is adjustable to fit any finger size. 
•Suitable for all age group of women.",,,,GOLD & PEACH,,Jewellery,RING,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,32,,,
White coloured uncut diamond leaf shaped finger ring with lime green enamel,RING225B,1000,RING225B-1000(1).jpg,"RING225B-1000(1).jpg, RING225B-1000(2).jpg",1,,,,"•White coloured uncut diamond leaf shaped finger ring with lime green enamel
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this finger ring can look elegant and stylish when worn with anarkali, lehengas, sarees and western outfit as well.
 •It has copper metal base & is adjustable to fit any finger size. 
•Suitable for all age group of women.",,,,GOLD & GREEN ,,Jewellery,RING,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,32,,,
White coloured uncut diamond leaf shaped finger ring with blue enamel,RING225C,1000,RING225C-1000(1).jpg,"RING225C-1000(1).jpg, RING225C-1000(2).jpg",1,,,,"•White coloured uncut diamond leaf shaped finger ring with blue enamel
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this finger ring can look elegant and stylish when worn with anarkali, lehengas, sarees and western outfit as well.
 •It has copper metal base & is adjustable to fit any finger size. 
•Suitable for all age group of women.",,,,GOLD & BLUE,,Jewellery,RING,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,32,,,
CZ/AD necklace set with sapphire coloured stone and bracelet,SET701,9600,SET701-9600(1).jpg,"SET701-9600(1).jpg, SET701-9600(2).jpg",1,,,,"•CZ/AD necklace set with sapphire coloured stone and bracelet
•This Necklace Set will compliment any Traditional or Modern attire. The color compliments all outfits & may be worn as a statement piece to any occasion. Once you wear this Jewellery Set, you will look no less than a DIVA. Ideal Necklace Set for Party and Festive wear.
•Featuring attractive designs, this Necklace set can look elegant and stylish when worn with Anarkali, Lehengas, Gowns or Sarees. 
•So enhance your style quotient on almost any occasion by wearing this set. 
•This necklace & earrings are studded with White American Diamonds giving it a real look.
•Comes with micro gold polished. 
•Give a rich yet elegant touch to your attire. 
•This set has been intricately designed for all the jewellery lovers.",,,,WHITE & BLUE,,Jewellery,NECKLACE SET,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,35,,,
CZ/AD necklace set with ruby coloured stone and bracelet,SET701A,9600,SET701A-9600(1).jpg,"SET701A-9600(1).jpg, SET701A-9600(2).jpg",1,,,,"•CZ/AD necklace set with ruby coloured stone and bracelet
•This Necklace Set will compliment any Traditional or Modern attire. The color compliments all outfits & may be worn as a statement piece to any occasion. Once you wear this Jewellery Set, you will look no less than a DIVA. Ideal Necklace Set for Party and Festive wear.
•Featuring attractive designs, this Necklace set can look elegant and stylish when worn with Anarkali, Lehengas, Gowns or Sarees. 
•So enhance your style quotient on almost any occasion by wearing this set. 
•This necklace & earrings are studded with White American Diamonds giving it a real look.
•Comes with micro gold polished. 
•Give a rich yet elegant touch to your attire. 
•This set has been intricately designed for all the jewellery lovers.",,,,WHITE & RUBY,,Jewellery,NECKLACE SET,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,35,,,
CZ/AD necklace set with emerald coloured stone and bracelet,SET722,9600,SET722-9600(1).jpg,"SET722-9600(1).jpg, SET722-9600(2).jpg",1,,,,"•CZ/AD necklace set with emerald coloured stone and bracelet
•This Necklace Set will compliment any Traditional or Modern attire. The color compliments all outfits & may be worn as a statement piece to any occasion. Once you wear this Jewellery Set, you will look no less than a DIVA. Ideal Necklace Set for Party and Festive wear.
•Featuring attractive designs, this Necklace set can look elegant and stylish when worn with Anarkali, Lehengas, Gowns or Sarees. 
•So enhance your style quotient on almost any occasion by wearing this set. 
•This necklace & earrings are studded with White American Diamonds giving it a real look.
•Comes with micro gold polished. 
•Give a rich yet elegant touch to your attire. 
•This set has been intricately designed for all the jewellery lovers.",,,,WHITE & GREEN,,Jewellery,NECKLACE SET,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,35,,,
CZ/AD necklace set with golden polish  ,SET728,3500,SET728-3500(1).jpg,"SET728-3500(1).jpg, SET728-3500(2).jpg",1,,,,"•CZ/AD necklace set with golden polish  
•This Necklace Set will compliment any Traditional or Modern attire. The color compliments all outfits & may be worn as a statement piece to any occasion. Once you wear this Jewellery Set, you will look no less than a DIVA. Ideal Necklace Set for Party and Festive wear.
•Featuring attractive designs, this Necklace set can look elegant and stylish when worn with Anarkali, Lehengas, Gowns or Sarees. 
•So enhance your style quotient on almost any occasion by wearing this set. 
•This necklace & earrings are studded with White American Diamonds giving it a real look.
•Comes with micro gold polished. 
•Give a rich yet elegant touch to your attire. 
•This set has been intricately designed for all the jewellery lovers.",,,,GOLD,,Jewellery,NECKLACE SET,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,35,,,
CZ/AD necklace set with golden polish and sapphire coloured stones,SET728A,3500,SET728A-3500(1).jpg,"SET728A-3500(1).jpg, SET728A-3500(2).jpg",1,,,,"•CZ/AD necklace set with golden polish and sapphire coloured stones
•This Necklace Set will compliment any Traditional or Modern attire. The color compliments all outfits & may be worn as a statement piece to any occasion. Once you wear this Jewellery Set, you will look no less than a DIVA. Ideal Necklace Set for Party and Festive wear.
•Featuring attractive designs, this Necklace set can look elegant and stylish when worn with Anarkali, Lehengas, Gowns or Sarees. 
•So enhance your style quotient on almost any occasion by wearing this set. 
•This necklace & earrings are studded with White American Diamonds giving it a real look.
•Comes with micro gold polished. 
•Give a rich yet elegant touch to your attire. 
•This set has been intricately designed for all the jewellery lovers.",,,,GOLD & BLUE,,Jewellery,NECKLACE SET,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,35,,,
CZ/AD necklace set with golden polish and ruby coloured stones,SET728B,3500,SET728B-3500(1).jpg,"SET728B-3500(1).jpg, SET728B-3500(2).jpg",1,,,,"•CZ/AD necklace set with golden polish and ruby coloured stones
•This Necklace Set will compliment any Traditional or Modern attire. The color compliments all outfits & may be worn as a statement piece to any occasion. Once you wear this Jewellery Set, you will look no less than a DIVA. Ideal Necklace Set for Party and Festive wear.
•Featuring attractive designs, this Necklace set can look elegant and stylish when worn with Anarkali, Lehengas, Gowns or Sarees. 
•So enhance your style quotient on almost any occasion by wearing this set. 
•This necklace & earrings are studded with White American Diamonds giving it a real look.
•Comes with micro gold polished. 
•Give a rich yet elegant touch to your attire. 
•This set has been intricately designed for all the jewellery lovers.",,,,GOLD & RUBY,,Jewellery,NECKLACE SET,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,35,,,
